RMP,V_peak,APD40,APD90,Tri9040,dVdt_max,qNet,Ca_diast,Ca_peak,CTD50,CTD90,EMw90,Tttp,T_peak,Trt50,Trt90,dTdt_max,dTdt_min
-87.76861401,40.28361174,134.86,219.91,85.05,425.4297748,0.052331659,92.18185542,539.6355168,187.15,361.05,141.14,170.66,30.25207661,118.99,238.36,0.321359381,-0.173039307
-88.56407549,41.85324536,188.18,267.93,79.75,450.6717333,-0.032823733,76.37625948,433.317081,172.1,311.84,43.91,150.33,17.38149449,107.42,215.68,0.213160143,-0.10854648
-88.16282252,36.39801894,149.14,250.74,101.6,381.100531,0.05599789,78.84094069,481.3616307,198.58,380.48,129.74,169.12,24.61096246,118.07,237.21,0.265275554,-0.141824992
-88.54771268,26.60616742,249.62,340,90.38,246.9604562,-0.093858762,69.05713297,497.5012355,231.31,394.87,54.87,184.22,28.66881687,127.91,241.65,0.283269702,-0.157719171
-88.85160288,35.93775481,178.17,251.54,73.37,380.094332,-0.024164683,76.44214846,577.8474147,210.29,396.24,144.7,181.94,35.89448706,127.72,246.43,0.359169313,-0.197286715
-88.51453946,41.45564365,152.37,213.65,61.28,447.794763,0.04821655,82.74230178,523.3058519,147.31,274.1,60.45,148.08,24.28833673,98.36,202.37,0.297370888,-0.169389288
-88.9912149,38.03229392,201.43,296.83,95.4,406.0339658,-0.053351253,81.68582025,599.3816715,194.97,360.34,63.51,175.88,36.44715198,124.78,238.58,0.376860869,-0.206551856
-88.58980468,33.36671986,205.8,319.36,113.56,348.3246206,-0.032109516,76.40254265,577.5797214,183.47,352.13,32.77,167.99,32.58780834,119.73,232.9,0.352523016,-0.188631269
-88.21834384,21.95683476,218.3,307.86,89.56,244.4405536,-0.032297376,73.91880778,510.013449,194.13,363.12,55.26,167.46,26.8063999,118.43,232.32,0.291927231,-0.155822659
-88.68885181,30.98166747,205.28,278.01,72.73,324.9245475,-0.069632693,75.82996202,538.5176053,215.85,381.86,103.85,181.87,32.26689569,124.8,238.82,0.322925485,-0.18493442
-88.83994139,33.05903634,210.37,267.88,57.51,346.2803043,-0.061320003,68.34380455,433.4605554,204.81,341.87,73.99,166,19.6965471,113.1,219.77,0.21764313,-0.123145405
-88.55946977,31.93381163,199.58,264.7,65.12,335.2002593,-0.024777456,73.94501963,535.6266734,158.42,293.89,29.19,152.95,26.3261856,104.21,208.29,0.311421822,-0.173904631
-88.45770318,38.37564941,203.12,274.3,71.18,412.9199075,-0.036080959,71.74216849,443.3326984,158.8,292,17.7,145.22,17.50548184,101.91,206.81,0.221064264,-0.11379589
-87.85991018,34.37052151,165.45,259.05,93.6,367.0294744,0.021698793,81.4785167,529.8151074,181.26,331.88,72.83,166.06,28.54688324,111.36,221.59,0.311361647,-0.1781728
-88.41737442,36.36603539,175.76,239.35,63.59,384.9492614,-0.010226515,68.65194091,495.7732091,187.77,324.31,84.96,166.44,25.68909003,106.39,210.94,0.279172982,-0.171196014
-88.85232094,36.42508248,238.24,337.12,98.88,387.0208441,-0.09856606,64.73381505,449.7459717,252.1,409.56,72.44,191.05,24.50356957,128.9,241.29,0.234438178,-0.136768504
-88.39008247,35.42262726,237.95,350.9,112.95,380.1460691,-0.102357525,68.30694722,456.0020816,230.29,387.97,37.07,178.66,23.52809417,126.09,239.59,0.241367918,-0.129779302
-88.79101903,34.14777515,164.65,218.15,53.5,355.2978001,0.007465825,72.2067437,553.7582143,178.99,324.76,106.61,166.34,30.86851388,108.17,214.61,0.334414759,-0.200343115
-88.89928653,39.46965768,178.66,259.79,81.13,420.8893205,-0.021180188,79.2945376,614.6204201,188.33,351.73,91.94,174.37,37.42210412,120.41,232.61,0.389145469,-0.220184472
-88.40293624,30.90225527,178.76,246.57,67.81,319.2484255,0.006587607,66.28309861,416.9696157,212.4,371.84,125.27,172.09,18.90479526,111.74,222.53,0.201366227,-0.118303801
